,대결,승률
0,두산 : KIA,0.643
1,두산 : LG,0.563
2,두산 : SK,0.533
3,두산 : 롯데,0.333
4,두산 : 삼성,0.611
5,두산 : 한화,0.563
6,두산 : 히어로즈,0.471
7,두산 : kt,0.350
8,두산 : NC,0.625
0,삼성 : KIA,0.688
1,삼성 : LG,0.429
2,삼성 : SK,0.500
3,삼성 : 두산,0.389
4,삼성 : 롯데,0.500
5,삼성 : 한화,0.714
6,삼성 : 히어로즈,0.500
7,삼성 : kt,0.600
8,삼성 : NC,0.688
0,NC : KIA,0.750
1,NC : LG,0.500
2,NC : SK,0.615
3,NC : 두산,0.375
4,NC : 롯데,0.500
5,NC : 삼성,0.313
6,NC : 한화,0.643
7,NC : 히어로즈,0.313
8,NC : kt,0.500
0,키움 : KIA,0.563
1,키움 : LG,0.357
2,키움 : SK,0.467
3,키움 : 두산,0.529
4,키움 : 롯데,0.500
5,키움 : 삼성,0.500
6,키움 : 한화,0.462
7,키움 : kt,0.500
8,키움 : NC,0.688
0,SSG : KIA,0.600
1,SSG : LG,0.600
2,SSG : 두산,0.467
3,SSG : 롯데,0.667
4,SSG : 삼성,0.500
5,SSG : 한화,0.625
6,SSG : 히어로즈,0.533
7,SSG : kt,0.143
8,SSG : NC,0.385
0,한화 : KIA,0.231
1,한화 : LG,0.267
2,한화 : SK,0.375
3,한화 : 두산,0.438
4,한화 : 롯데,0.533
5,한화 : 삼성,0.286
6,한화 : 히어로즈,0.538
7,한화 : kt,0.313
8,한화 : NC,0.357
0,LG : KIA,0.600
1,LG : SK,0.400
2,LG : 두산,0.438
3,LG : 롯데,0.643
4,LG : 삼성,0.571
5,LG : 한화,0.733
6,LG : 히어로즈,0.643
7,LG : kt,0.429
8,LG : NC,0.500
0,롯데 : KIA,0.400
1,롯데 : LG,0.357
2,롯데 : SK,0.333
3,롯데 : 두산,0.667
4,롯데 : 삼성,0.500
5,롯데 : 한화,0.467
6,롯데 : 히어로즈,0.500
7,롯데 : kt,0.563
8,롯데 : NC,0.500
0,KIA : LG,0.400
1,KIA : SK,0.400
2,KIA : 두산,0.357
3,KIA : 롯데,0.600
4,KIA : 삼성,0.313
5,KIA : 한화,0.769
6,KIA : 히어로즈,0.438
7,KIA : kt,0.429
8,KIA : NC,0.250
0,KT : KIA,0.571
1,KT : LG,0.571
2,KT : SK,0.857
3,KT : 두산,0.650
4,KT : 롯데,0.438
5,KT : 삼성,0.400
6,KT : 한화,0.688
7,KT : 히어로즈,0.500
8,KT : NC,0.500
